UserID,Umur,Gender,Daerah,Kategori
U0085,55,P,Palembang,Teknologi
U0086,47,L,Makassar,Musik
U0087,23,P,Makassar,Edukasi
U0088,61,P,Surabaya,Film
U0089,35,P,Balikpapan,Travel
U0090,45,P,Bandung,Teknologi
U0091,26,L,Pontianak,Fashion
U0092,77,P,Pontianak,Film
U0093,66,L,Bekasi,Olahraga
U0094,29,P,Manado,Travel
U0095,69,L,Yogyakarta,Olahraga
U0096,38,P,Palembang,Game
U0097,48,P,Bogor,Film
U0098,20,P,Balikpapan,Travel
U0099,54,P,Depok,Musik
U0100,18,L,Malang,Musik
U0101,61,P,Palembang,Travel
U0102,29,L,Balikpapan,Film
U0103,43,L,Denpasar,Edukasi
U0104,24,P,Palembang,Travel
U0105,73,P,Samarinda,Olahraga
U0106,50,L,Malang,Olahraga
U0107,34,L,Batam,Game
U0108,43,P,Makassar,Teknologi
U0109,80,P,Batam,Travel
U0110,41,P,Pontianak,Olahraga
U0111,31,L,Bogor,Kuliner
U0112,33,P,Yogyakarta,Film
U0113,21,P,Pontianak,Game
U0114,44,L,Malang,Fashion
U0115,24,L,Bogor,Travel
U0116,50,P,Surabaya,Game
U0117,78,L,Depok,Film
U0118,36,P,Pontianak,Travel
U0119,43,P,Medan,Kuliner
U0120,62,P,Jakarta,Film
U0121,27,L,Balikpapan,Olahraga
U0122,45,P,Makassar,Otomotif
U0123,30,P,Denpasar,Musik
U0124,50,L,Denpasar,Musik
U0125,77,P,Yogyakarta,Olahraga
U0126,24,P,Samarinda,Otomotif
U0127,22,P,Tangerang,Kuliner
U0128,36,L,Manado,Travel
U0129,24,P,Manado,Game
U0130,26,L,Jakarta,Musik
U0131,24,P,Tangerang,Otomotif
U0132,37,L,Bogor,Travel
U0133,34,P,Bandung,Teknologi
U0134,16,P,Pontianak,Game
U0135,54,P,Samarinda,Travel
U0136,17,L,Bogor,Kuliner
U0137,21,L,Bogor,Kuliner
U0138,58,P,Pontianak,Kuliner
U0139,75,L,Samarinda,Film
U0140,65,P,Depok,Game
U0141,46,P,Bekasi,Game
U0142,21,P,Medan,Teknologi
U0143,56,P,Pontianak,Olahraga
U0144,47,L,Depok,Edukasi
U0145,28,P,Balikpapan,Travel
U0146,35,L,Padang,Travel
U0147,39,P,Pontianak,Olahraga
U0148,36,L,Bandung,Travel
U0149,71,P,Pontianak,Film
U0150,78,P,Yogyakarta,Edukasi
U0151,60,P,Yogyakarta,Kuliner
U0152,73,P,Bekasi,Travel
U0153,22,L,Pontianak,Travel
U0154,43,L,Bogor,Game
U0155,29,L,Depok,Film
U0156,54,L,Semarang,Film
U0157,23,P,Tangerang,Film
U0158,56,P,Batam,Fashion
U0159,74,L,Malang,Kuliner
U0160,52,L,Makassar,Fashion
U0161,36,P,Bogor,Travel
U0162,68,P,Palembang,Film
U0163,57,L,Padang,Teknologi
U0164,27,L,Depok,Edukasi
U0165,80,L,Jakarta,Kuliner
U0166,68,P,Bandung,Kuliner
U0167,64,L,Surabaya,Musik
U0168,34,P,Bekasi,Film
U0169,31,L,Balikpapan,Teknologi
U0170,42,L,Balikpapan,Edukasi
U0171,61,L,Manado,Film
U0172,19,L,Makassar,Teknologi
U0173,48,P,Medan,Travel
U0174,32,L,Denpasar,Film
U0175,80,L,Bogor,Teknologi
U0176,27,L,Balikpapan,Fashion
U0177,17,P,Pontianak,Otomotif
U0178,79,P,Pontianak,Game
U0179,18,L,Manado,Travel
U0180,78,L,Palembang,Edukasi
U0181,55,L,Surabaya,Fashion
U0182,62,P,Pontianak,Fashion
U0183,36,P,Depok,Game
U0184,47,L,Bandung,Teknologi
U0185,68,P,Depok,Edukasi
U0186,16,L,Bandung,Travel
U0187,80,L,Bogor,Travel
U0188,18,P,Bogor,Travel
U0189,77,L,Yogyakarta,Kuliner
U0190,28,L,Yogyakarta,Otomotif
U0191,43,L,Tangerang,Game
U0192,20,P,Pontianak,Kuliner
U0193,30,L,Malang,Olahraga
U0194,78,P,Bogor,Musik
U0195,21,L,Surabaya,Film
U0196,20,P,Makassar,Musik
U0197,67,P,Bandung,Olahraga
U0198,77,L,Tangerang,Game
U0199,43,L,Semarang,Film
U0200,50,L,Tangerang,Teknologi
U0201,41,L,Balikpapan,Film
U0202,73,P,Padang,Fashion
U0203,40,P,Malang,Edukasi
U0204,22,L,Yogyakarta,Teknologi
U0205,58,P,Yogyakarta,Game
U0206,26,P,Padang,Edukasi
U0207,42,P,Medan,Edukasi
U0208,74,L,Balikpapan,Fashion
U0209,60,P,Bandung,Edukasi
U0210,52,L,Samarinda,Edukasi
U0211,57,P,Samarinda,Game
U0212,70,L,Semarang,Travel
U0213,48,L,Pontianak,Kuliner
U0214,77,L,Denpasar,Kuliner
U0215,62,P,Makassar,Edukasi
U0216,17,L,Malang,Otomotif
U0217,32,L,Balikpapan,Teknologi
U0218,59,L,Makassar,Fashion
U0219,37,P,Pontianak,Travel
U0220,17,L,Yogyakarta,Olahraga
U0221,47,L,Jakarta,Kuliner
U0222,66,P,Makassar,Edukasi
U0223,40,P,Jakarta,Film
U0224,26,L,Bogor,Olahraga
U0225,37,P,Yogyakarta,Edukasi
U0226,27,P,Padang,Kuliner
U0227,79,P,Manado,Otomotif
U0228,58,L,Semarang,Olahraga
U0229,57,P,Yogyakarta,Otomotif
U0230,32,P,Jakarta,Olahraga
U0231,57,L,Manado,Musik
U0232,21,P,Batam,Teknologi
U0233,40,P,Yogyakarta,Fashion
U0234,41,L,Makassar,Teknologi
U0235,61,L,Manado,Fashion
U0236,35,P,Malang,Fashion
U0237,52,P,Batam,Musik
U0238,74,L,Padang,Travel
U0239,30,P,Semarang,Film
U0240,57,L,Batam,Film
U0241,37,P,Malang,Travel
U0242,28,L,Samarinda,Fashion
U0243,41,L,Bekasi,Otomotif
U0244,25,L,Bekasi,Kuliner
U0245,37,L,Batam,Otomotif
U0246,59,P,Pontianak,Musik
U0247,66,P,Medan,Otomotif
U0248,49,P,Tangerang,Teknologi
U0249,57,L,Depok,Musik
U0250,53,P,Balikpapan,Film
U0251,38,L,Malang,Film
U0252,61,L,Jakarta,Kuliner
U0253,22,P,Denpasar,Fashion
U0254,28,P,Bogor,Teknologi
U0255,37,L,Tangerang,Film
U0256,78,L,Palembang,Fashion
U0257,64,L,Tangerang,Film
U0258,46,L,Manado,Otomotif
U0259,29,L,Samarinda,Olahraga
U0260,78,L,Makassar,Travel
U0261,49,L,Surabaya,Olahraga
U0262,46,P,Manado,Game
U0263,68,L,Manado,Edukasi
U0264,50,L,Manado,Otomotif
U0265,29,L,Bogor,Edukasi
U0266,39,L,Tangerang,Travel
U0267,70,L,Medan,Fashion
U0268,58,P,Makassar,Edukasi
U0269,17,P,Bekasi,Otomotif
U0270,44,L,Bandung,Travel
U0271,27,L,Malang,Musik
U0272,50,L,Jakarta,Film
U0273,75,P,Balikpapan,Olahraga
U0274,43,L,Yogyakarta,Olahraga
U0275,37,P,Makassar,Olahraga
U0276,31,L,Pontianak,Travel
U0277,79,P,Depok,Travel
U0278,19,P,Makassar,Fashion
U0279,37,P,Padang,Game
U0280,50,P,Padang,Game
U0281,66,L,Samarinda,Musik
U0282,58,P,Yogyakarta,Travel
U0283,49,P,Tangerang,Fashion
U0284,40,P,Bandung,Teknologi
U0285,75,P,Balikpapan,Film
U0286,79,L,Denpasar,Fashion
U0287,43,L,Pontianak,Edukasi
U0288,34,P,Malang,Fashion
U0289,33,L,Padang,Kuliner
U0290,36,L,Jakarta,Edukasi
U0291,59,L,Bandung,Teknologi
U0292,20,P,Malang,Game
U0293,70,P,Samarinda,Travel
U0294,33,L,Medan,Olahraga
U0295,42,L,Surabaya,Game
U0296,74,L,Malang,Fashion
U0297,55,L,Bogor,Kuliner
U0298,26,P,Surabaya,Edukasi
U0299,64,P,Jakarta,Teknologi
U0300,24,L,Balikpapan,Otomotif
U0301,66,P,Bogor,Musik
U0302,40,P,Bogor,Olahraga
U0303,80,P,Jakarta,Edukasi
U0304,39,L,Malang,Musik
U0305,70,P,Batam,Game
U0306,64,P,Padang,Fashion
U0307,59,L,Balikpapan,Travel
U0308,63,P,Bekasi,Teknologi
U0309,49,P,Tangerang,Olahraga
U0310,31,L,Pontianak,Otomotif
U0311,57,P,Denpasar,Fashion
U0312,39,L,Medan,Teknologi
U0313,36,L,Bandung,Olahraga
U0314,64,L,Bandung,Film
U0315,60,P,Jakarta,Otomotif
U0316,69,L,Balikpapan,Teknologi
U0317,76,L,Depok,Game
U0318,48,P,Malang,Kuliner
U0319,59,L,Denpasar,Musik
U0320,40,L,Pontianak,Teknologi
U0321,39,P,Batam,Travel
U0322,59,L,Palembang,Musik
U0323,36,P,Malang,Fashion
U0324,39,P,Makassar,Teknologi
U0325,29,L,Medan,Otomotif
U0326,68,P,Malang,Kuliner
U0327,35,P,Malang,Game
U0328,33,L,Semarang,Edukasi
U0329,28,P,Manado,Kuliner
U0330,52,L,Medan,Otomotif
U0331,30,P,Yogyakarta,Olahraga
U0332,70,P,Palembang,Game
U0333,26,P,Samarinda,Teknologi
U0334,68,L,Makassar,Fashion
U0335,20,L,Surabaya,Travel
U0336,24,P,Balikpapan,Film
U0337,41,P,Padang,Travel
U0338,59,L,Pontianak,Teknologi
U0339,52,P,Jakarta,Fashion
U0340,55,L,Palembang,Game
U0341,52,P,Yogyakarta,Travel
U0342,47,P,Yogyakarta,Musik
U0343,40,L,Semarang,Musik
U0344,17,L,Batam,Teknologi
U0345,67,L,Manado,Travel
U0346,46,P,Bandung,Kuliner
U0347,39,L,Yogyakarta,Musik
U0348,18,P,Batam,Travel
U0349,75,P,Surabaya,Kuliner
U0350,78,L,Bandung,Film
U0351,76,L,Bandung,Edukasi
U0352,79,P,Bogor,Fashion
U0353,40,P,Surabaya,Olahraga
U0354,44,P,Pontianak,Musik
U0355,60,L,Pontianak,Travel
U0356,56,L,Bogor,Travel
U0357,78,L,Manado,Edukasi
U0358,46,L,Samarinda,Travel
U0359,40,L,Medan,Edukasi
U0360,48,P,Bekasi,Film
U0361,72,L,Bandung,Otomotif
U0362,46,P,Palembang,Travel
U0363,18,L,Jakarta,Travel
U0364,66,P,Bogor,Edukasi
U0365,22,L,Manado,Teknologi
U0366,69,P,Makassar,Teknologi
U0367,39,L,Medan,Film
U0368,65,P,Pontianak,Teknologi
U0369,58,L,Depok,Otomotif
U0370,58,L,Balikpapan,Otomotif
U0371,38,P,Batam,Travel
U0372,58,P,Surabaya,Travel
U0373,80,P,Bekasi,Edukasi
U0374,38,L,Tangerang,Kuliner
U0375,71,L,Bekasi,Edukasi
U0376,27,P,Jakarta,Game
U0377,39,L,Bekasi,Edukasi
U0378,75,L,Surabaya,Film
U0379,16,L,Pontianak,Otomotif
U0380,16,P,Semarang,Edukasi
U0381,16,P,Denpasar,Kuliner
U0382,68,L,Bogor,Teknologi
U0383,40,P,Depok,Teknologi
U0384,79,P,Surabaya,Otomotif
U0385,41,P,Bogor,Film
U0386,42,P,Surabaya,Edukasi
U0387,32,L,Medan,Film
U0388,60,L,Padang,Kuliner
U0389,40,L,Semarang,Film
U0390,39,L,Denpasar,Edukasi
U0391,31,P,Yogyakarta,Edukasi
U0392,26,L,Batam,Film
U0393,57,L,Manado,Game
U0394,40,L,Bogor,Teknologi
U0395,23,L,Pontianak,Teknologi
U0396,61,P,Jakarta,Musik
U0397,61,L,Padang,Game
U0398,75,L,Tangerang,Kuliner
U0399,42,L,Medan,Teknologi
U0400,69,P,Bekasi,Fashion
U0401,59,P,Malang,Film
U0402,23,L,Bekasi,Olahraga
U0403,28,P,Bekasi,Travel
U0404,32,L,Palembang,Game
U0405,61,P,Yogyakarta,Teknologi
U0406,24,P,Semarang,Musik
U0407,39,P,Bandung,Edukasi
U0408,45,P,Bekasi,Musik
U0409,40,L,Malang,Olahraga
U0410,67,L,Depok,Edukasi
U0411,49,L,Semarang,Game
U0412,21,P,Denpasar,Teknologi
U0413,24,P,Medan,Edukasi
U0414,27,L,Balikpapan,Teknologi
U0415,48,P,Samarinda,Musik
U0416,66,P,Denpasar,Travel
U0417,41,P,Surabaya,Edukasi
U0418,76,L,Yogyakarta,Musik
U0419,54,L,Yogyakarta,Game
U0420,56,P,Surabaya,Otomotif
U0421,60,P,Surabaya,Travel
U0422,17,P,Batam,Edukasi
U0423,16,L,Malang,Teknologi
U0424,44,L,Samarinda,Teknologi
U0425,19,L,Palembang,Travel
U0426,21,P,Pontianak,Travel
U0427,69,P,Bogor,Otomotif
U0428,70,L,Jakarta,Travel
U0429,76,L,Palembang,Edukasi
U0430,57,P,Bandung,Film
U0431,52,P,Jakarta,Film
U0432,64,P,Batam,Otomotif
U0433,74,P,Balikpapan,Film
U0434,73,P,Manado,Olahraga
U0435,58,P,Jakarta,Edukasi
U0436,79,L,Makassar,Musik
U0437,42,L,Pontianak,Game
U0438,49,P,Semarang,Film
U0439,30,P,Bogor,Kuliner
U0440,41,L,Manado,Travel
U0441,53,L,Semarang,Otomotif
U0442,34,P,Batam,Fashion
U0443,63,L,Palembang,Game
U0444,22,P,Bekasi,Kuliner
U0445,60,P,Pontianak,Game
U0446,55,L,Bogor,Game
U0447,80,L,Samarinda,Kuliner
U0448,59,L,Jakarta,Teknologi
U0449,59,P,Surabaya,Film
U0450,28,L,Medan,Olahraga
U0451,71,P,Bogor,Travel
U0452,26,L,Malang,Travel
U0453,70,P,Samarinda,Otomotif
U0454,49,P,Manado,Fashion
U0455,76,L,Palembang,Film
U0456,52,P,Yogyakarta,Kuliner
U0457,46,P,Balikpapan,Teknologi
U0458,60,P,Balikpapan,Teknologi
U0459,21,L,Padang,Otomotif
U0460,31,P,Makassar,Game
U0461,69,L,Bekasi,Game
U0462,28,L,Tangerang,Travel
U0463,34,P,Balikpapan,Kuliner
U0464,54,L,Denpasar,Fashion
U0465,34,P,Yogyakarta,Musik
U0466,23,L,Balikpapan,Olahraga
U0467,79,L,Batam,Teknologi
U0468,46,L,Tangerang,Travel
U0469,26,P,Bekasi,Film
U0470,43,P,Bekasi,Otomotif
U0471,50,P,Padang,Fashion
U0472,58,P,Manado,Olahraga
U0473,51,L,Batam,Game
U0474,67,P,Malang,Fashion
U0475,67,P,Manado,Otomotif
U0476,19,P,Palembang,Teknologi
U0477,70,L,Palembang,Olahraga
U0478,48,L,Makassar,Film
U0479,55,P,Jakarta,Otomotif
U0480,18,P,Manado,Game
U0481,56,L,Medan,Edukasi
U0482,37,P,Manado,Teknologi
U0483,18,P,Makassar,Film
U0484,51,P,Samarinda,Otomotif
U0485,41,L,Bekasi,Fashion
U0486,33,L,Samarinda,Olahraga
U0487,52,L,Surabaya,Edukasi
U0488,64,L,Samarinda,Musik
U0489,72,P,Denpasar,Film
U0490,18,L,Yogyakarta,Game
U0491,68,P,Denpasar,Teknologi
U0492,40,P,Batam,Olahraga
U0493,53,P,Yogyakarta,Kuliner
U0494,31,P,Pontianak,Otomotif
U0495,63,L,Depok,Fashion
U0496,21,P,Makassar,Otomotif
U0497,74,L,Samarinda,Kuliner
U0498,38,P,Denpasar,Travel
U0499,67,L,Bekasi,Travel
U0500,62,L,Makassar,Teknologi
U0501,76,L,Bogor,Olahraga
U0502,74,L,Medan,Fashion
U0503,31,P,Semarang,Kuliner
U0504,67,P,Denpasar,Olahraga
U0505,17,P,Makassar,Film
U0506,67,P,Padang,Teknologi
U0507,63,P,Batam,Musik
U0508,44,L,Bogor,Film
U0509,79,L,Surabaya,Game
U0510,76,P,Pontianak,Edukasi
U0511,42,L,Padang,Otomotif
U0512,32,L,Balikpapan,Otomotif
U0513,28,P,Manado,Olahraga
U0514,40,L,Palembang,Travel
U0515,43,P,Balikpapan,Olahraga
U0516,38,P,Yogyakarta,Game
U0517,73,P,Yogyakarta,Game
U0518,40,P,Jakarta,Teknologi
U0519,23,P,Palembang,Fashion
U0520,36,P,Malang,Teknologi
U0521,27,L,Medan,Musik
U0522,43,P,Bandung,Otomotif
U0523,48,L,Palembang,Game
U0524,77,P,Bekasi,Game
U0525,74,L,Semarang,Olahraga
U0526,40,P,Semarang,Teknologi
U0527,25,L,Palembang,Film
U0528,39,L,Bogor,Teknologi
U0529,27,P,Batam,Fashion
U0530,23,P,Medan,Edukasi
U0531,59,P,Malang,Teknologi
U0532,19,P,Bandung,Kuliner
U0533,16,L,Pontianak,Travel
U0534,32,P,Manado,Edukasi
U0535,30,P,Bandung,Travel
U0536,23,L,Padang,Otomotif
U0537,44,P,Depok,Fashion
U0538,26,L,Bogor,Fashion
U0539,21,P,Samarinda,Game
U0540,62,P,Bandung,Olahraga
U0541,42,L,Makassar,Otomotif
U0542,68,L,Malang,Teknologi
U0543,60,P,Makassar,Travel
U0544,25,L,Samarinda,Musik
U0545,24,L,Pontianak,Teknologi
U0546,29,L,Jakarta,Otomotif
U0547,31,P,Pontianak,Musik
U0548,42,P,Makassar,Musik
U0549,72,L,Padang,Olahraga
U0550,55,P,Jakarta,Game
U0551,77,P,Manado,Fashion
U0552,37,P,Bekasi,Teknologi
U0553,16,P,Samarinda,Edukasi
U0554,53,L,Semarang,Edukasi
U0555,79,P,Jakarta,Otomotif
U0556,80,P,Yogyakarta,Game
U0557,30,L,Semarang,Game
U0558,75,P,Jakarta,Fashion
U0559,61,L,Makassar,Kuliner
U0560,51,L,Samarinda,Olahraga
U0561,62,P,Samarinda,Film
U0562,61,L,Jakarta,Fashion
U0563,79,L,Pontianak,Game
U0564,40,L,Manado,Otomotif
U0565,63,P,Samarinda,Otomotif
U0566,22,L,Jakarta,Teknologi
U0567,52,L,Medan,Kuliner
U0568,56,P,Bandung,Teknologi
U0569,40,P,Semarang,Fashion
U0570,38,P,Semarang,Otomotif
U0571,52,P,Bogor,Teknologi
U0572,44,P,Bogor,Game
U0573,25,L,Bekasi,Game
U0574,52,L,Padang,Otomotif
U0575,51,P,Bekasi,Game
U0576,31,P,Yogyakarta,Travel
U0577,22,P,Malang,Kuliner
U0578,45,P,Manado,Edukasi
U0579,31,P,Yogyakarta,Fashion
U0580,70,P,Bandung,Olahraga
U0581,64,L,Jakarta,Otomotif
U0582,17,L,Padang,Otomotif
U0583,78,P,Samarinda,Olahraga
U0584,47,L,Malang,Edukasi
U0585,48,P,Palembang,Game
U0586,64,L,Makassar,Kuliner
U0587,76,L,Semarang,Edukasi
U0588,51,L,Bogor,Teknologi
U0589,51,L,Bekasi,Fashion
U0590,19,L,Jakarta,Edukasi
U0591,77,L,Samarinda,Travel
U0592,71,P,Malang,Kuliner
U0593,64,P,Bogor,Otomotif
U0594,22,P,Makassar,Olahraga
U0595,18,P,Jakarta,Film
U0596,17,P,Denpasar,Film
U0597,43,L,Padang,Kuliner
U0598,33,P,Denpasar,Film
U0599,30,L,Denpasar,Otomotif
U0600,65,L,Bogor,Teknologi
U0601,37,L,Denpasar,Musik
U0602,27,P,Depok,Travel
U0603,26,P,Palembang,Musik
U0604,24,L,Medan,Kuliner
U0605,16,P,Bandung,Otomotif
U0606,41,L,Palembang,Musik
U0607,58,P,Yogyakarta,Edukasi
U0608,52,L,Samarinda,Edukasi
U0609,53,L,Bekasi,Teknologi
U0610,62,P,Palembang,Kuliner
U0611,53,P,Palembang,Game
U0612,41,L,Denpasar,Travel
U0613,40,L,Depok,Travel
U0614,52,P,Depok,Travel
U0615,70,P,Pontianak,Travel
U0616,39,L,Tangerang,Kuliner
U0617,70,L,Tangerang,Travel
U0618,64,P,Manado,Game
U0619,26,L,Bogor,Olahraga
U0620,54,L,Depok,Fashion
U0621,79,L,Makassar,Fashion
U0622,49,L,Surabaya,Edukasi
U0623,63,P,Jakarta,Teknologi
U0624,79,P,Makassar,Olahraga
U0625,35,P,Jakarta,Otomotif
U0626,63,L,Denpasar,Musik
U0627,53,L,Tangerang,Teknologi
U0628,22,P,Jakarta,Fashion
U0629,38,P,Depok,Edukasi
U0630,38,L,Bandung,Fashion
U0631,30,P,Yogyakarta,Edukasi
U0632,18,L,Malang,Musik
U0633,63,P,Jakarta,Kuliner
U0634,34,L,Jakarta,Film
U0635,39,P,Padang,Edukasi
U0636,50,P,Bogor,Film
U0637,26,P,Samarinda,Fashion
U0638,32,L,Balikpapan,Otomotif
U0639,44,P,Medan,Olahraga
U0640,69,L,Yogyakarta,Edukasi
U0641,36,L,Tangerang,Edukasi
U0642,22,L,Malang,Travel
U0643,55,P,Malang,Olahraga
U0644,50,P,Makassar,Film
U0645,39,L,Denpasar,Olahraga
U0646,25,L,Malang,Otomotif
U0647,80,L,Balikpapan,Edukasi
U0648,21,L,Pontianak,Olahraga
U0649,47,P,Padang,Otomotif
U0650,50,L,Semarang,Fashion
U0651,47,P,Yogyakarta,Musik
U0652,32,L,Pontianak,Kuliner
U0653,45,P,Makassar,Teknologi
U0654,18,P,Malang,Teknologi
U0655,68,P,Bandung,Game
U0656,20,P,Malang,Olahraga
U0657,40,L,Balikpapan,Musik
U0658,52,P,Bekasi,Kuliner
U0659,16,L,Surabaya,Edukasi
U0660,55,L,Bogor,Fashion
U0661,26,L,Samarinda,Olahraga
U0662,58,L,Bogor,Edukasi
U0663,28,P,Batam,Kuliner
U0664,69,L,Tangerang,Olahraga
U0665,39,L,Padang,Otomotif
U0666,43,P,Tangerang,Edukasi
U0667,38,P,Yogyakarta,Musik
U0668,37,L,Batam,Travel
U0669,22,P,Bekasi,Film
U0670,69,P,Tangerang,Film
U0671,55,L,Samarinda,Edukasi
U0672,45,L,Bogor,Game
U0673,49,L,Padang,Fashion
U0674,67,L,Bandung,Fashion
U0675,48,L,Padang,Otomotif
U0676,28,L,Palembang,Travel
U0677,18,P,Bekasi,Edukasi
U0678,40,P,Makassar,Fashion
U0679,28,P,Palembang,Game
U0680,68,L,Padang,Film
U0681,64,L,Yogyakarta,Edukasi
U0682,41,P,Malang,Otomotif
U0683,64,P,Bandung,Edukasi
U0684,52,P,Bandung,Otomotif
U0685,64,P,Batam,Travel
U0686,39,P,Depok,Kuliner
U0687,75,P,Pontianak,Teknologi
U0688,33,L,Padang,Fashion
U0689,16,P,Medan,Edukasi
U0690,31,L,Bandung,Fashion
U0691,45,P,Palembang,Olahraga
U0692,19,P,Samarinda,Game
U0693,18,L,Malang,Musik
U0694,78,P,Makassar,Edukasi
U0695,36,L,Depok,Otomotif
U0696,48,P,Samarinda,Film
U0697,76,L,Balikpapan,Game
U0698,78,P,Bogor,Otomotif
U0699,68,L,Jakarta,Fashion
U0700,61,L,Surabaya,Teknologi
U0701,73,L,Tangerang,Travel
U0702,74,L,Semarang,Teknologi
U0703,45,L,Manado,Teknologi
U0704,41,P,Medan,Film
U0705,51,L,Bogor,Edukasi
U0706,57,L,Jakarta,Game
U0707,72,L,Manado,Kuliner
U0708,80,L,Bogor,Game
U0709,22,L,Padang,Kuliner
U0710,20,P,Yogyakarta,Travel
U0711,71,P,Denpasar,Kuliner
U0712,49,L,Tangerang,Edukasi
U0713,49,P,Surabaya,Film
U0714,29,L,Yogyakarta,Fashion
U0715,58,P,Palembang,Kuliner
U0716,29,P,Palembang,Olahraga
U0717,52,L,Bekasi,Musik
U0718,65,P,Tangerang,Travel
U0719,35,L,Yogyakarta,Film
U0720,24,L,Yogyakarta,Olahraga
U0721,60,L,Malang,Teknologi
U0722,31,L,Makassar,Fashion
U0723,23,L,Padang,Kuliner
U0724,28,L,Yogyakarta,Kuliner
U0725,60,P,Surabaya,Musik
U0726,49,P,Manado,Teknologi
U0727,66,L,Manado,Fashion
U0728,45,P,Yogyakarta,Travel
U0729,21,P,Palembang,Musik
U0730,43,L,Bekasi,Olahraga
U0731,74,L,Tangerang,Film
U0732,26,P,Pontianak,Game
U0733,56,L,Tangerang,Olahraga
U0734,58,P,Balikpapan,Teknologi
U0735,68,L,Bekasi,Film
U0736,76,L,Batam,Game
U0737,51,P,Balikpapan,Film
U0738,43,L,Depok,Otomotif
U0739,32,P,Tangerang,Teknologi
U0740,45,P,Palembang,Travel
U0741,46,P,Batam,Otomotif
U0742,52,P,Depok,Film
U0743,36,P,Bogor,Kuliner
U0744,76,P,Malang,Teknologi
U0745,56,P,Malang,Travel
U0746,44,P,Batam,Musik
U0747,18,L,Pontianak,Olahraga
U0748,41,L,Medan,Fashion
U0749,69,P,Malang,Film
U0750,75,L,Padang,Olahraga
U0751,49,L,Balikpapan,Kuliner
U0752,26,L,Balikpapan,Musik
U0753,35,P,Malang,Fashion
U0754,59,P,Surabaya,Fashion
U0755,18,P,Tangerang,Game
U0756,17,P,Denpasar,Film
U0757,74,P,Jakarta,Olahraga
U0758,67,L,Bandung,Film
U0759,76,L,Bandung,Olahraga
U0760,73,L,Samarinda,Edukasi
U0761,56,P,Batam,Game
U0762,60,P,Surabaya,Edukasi
U0763,40,P,Medan,Olahraga
U0764,59,L,Pontianak,Kuliner
